Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D133,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-68.0,0.0,top
D134,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-68.0,0.0,top
D135,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-68.0,0.0,top
D136,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-68.0,0.0,top
D137,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-68.0,0.0,top
D14,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-56.0,0.0,top
D140,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-71.0,0.0,top
D141,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-71.0,0.0,top
D142,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-71.0,0.0,top
D143,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-71.0,0.0,top
D144,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-71.0,0.0,top
D145,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-71.0,0.0,top
D146,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-71.0,0.0,top
D147,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-71.0,0.0,top
D15,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-56.0,0.0,top
D150,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,109.000002,-74.0,0.0,top
D151,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,112.000002,-74.0,0.0,top
D152,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,115.000002,-74.0,0.0,top
D153,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,118.000002,-74.0,0.0,top
D154,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,121.000002,-74.0,0.0,top
D155,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,124.000002,-74.0,0.0,top
D156,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,127.000002,-74.0,0.0,top
D157,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,130.000002,-74.0,0.0,top
D16,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,151.000002,-56.0,0.0,top
D161,NEWOPTO XYC-IRA2835A90-X4,LED_PLCC_2835_Handsoldering,144.5,-127.5,0.0,top
D17,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,154.000002,-56.0,0.0,top
D18,SOD4007-MS,D_SOD-123F,95.600002,-136.5,0.0,bottom
D2,SOD4007-MS,D_SOD-123F,91.100002,-135.75,180.0,bottom
D20,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,133.000002,-59.0,0.0,top
D21,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,136.000002,-59.0,0.0,top
D22,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,139.000002,-59.0,0.0,top
D23,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,142.000002,-59.0,0.0,top
D24,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,145.000002,-59.0,0.0,top
D25,LED,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,148.000002,-59.0,0.0,top
